,G3,failures,absences,studytime,G1,G2
91,18,0,4.0,1,16.0,17
92,6,0,4.0,2,7.0,6
93,10,0,0.0,2,11.0,10
94,14,0,6.0,4,11.0,13
95,10,1,2.0,4,7.0,10
96,15,0,2.0,1,11.0,15
97,10,0,2.0,2,8.0,9
98,14,0,6.0,1,11.0,14
99,8,0,0.0,3,7.0,9
100,5,0,14.0,1,7.0,7
101,17,0,0.0,3,16.0,17
102,14,0,4.0,1,10.0,13
103,6,0,20.0,2,7.0,6
104,18,0,0.0,2,16.0,18
105,11,0,10.0,4,10.0,11
106,8,0,8.0,4,7.0,8
107,18,0,2.0,3,16.0,18
108,13,0,6.0,4,10.0,13
109,16,0,4.0,3,14.0,15
110,19,0,6.0,1,18.0,19
111,10,1,0.0,3,7.0,10
112,13,1,6.0,2,10.0,13
113,19,0,10.0,1,18.0,19
114,9,0,8.0,2,9.0,9
115,16,0,2.0,2,15.0,15
116,14,0,2.0,2,11.0,13
117,13,0,0.0,1,13.0,14
118,8,1,20.0,2,9.0,7
119,13,0,6.0,1,14.0,13
120,15,0,2.0,2,16.0,15
121,15,0,6.0,4,16.0,14
122,13,0,2.0,2,13.0,13
123,13,0,18.0,1,14.0,11
124,8,0,0.0,2,8.0,7
125,12,0,0.0,1,13.0,13
126,11,0,0.0,2,7.0,10
127,9,3,2.0,2,7.0,8
128,0,2,0.0,1,7.0,4
129,18,0,8.0,1,18.0,18
130,0,2,0.0,3,12.0,0
131,0,0,0.0,1,8.0,0
132,12,0,12.0,1,10.0,13
133,11,0,16.0,1,12.0,11
134,0,0,0.0,2,9.0,0
135,0,0,0.0,3,11.0,0
136,0,0,0.0,2,10.0,0
137,0,2,0.0,1,4.0,0
138,12,1,0.0,2,14.0,12
139,15,0,0.0,1,16.0,16
140,0,0,0.0,4,7.0,9
141,9,2,8.0,1,9.0,9
142,11,0,2.0,3,9.0,11
143,13,0,2.0,1,14.0,14
144,0,3,0.0,1,5.0,0
145,11,0,0.0,2,8.0,11
146,0,3,0.0,2,6.0,7
147,11,0,2.0,2,10.0,11
148,0,0,0.0,1,7.0,6
149,10,3,0.0,1,8.0,9
150,0,3,0.0,1,6.0,5
151,14,1,6.0,1,12.0,13
152,10,2,8.0,3,10.0,10
153,0,3,0.0,1,5.0,0
154,12,0,0.0,1,11.0,11
155,8,0,2.0,2,11.0,8
156,13,0,8.0,1,16.0,12
157,10,3,6.0,1,9.0,8
158,15,0,2.0,1,17.0,15
159,12,1,4.0,2,10.0,12
160,0,2,0.0,1,7.0,6
161,7,2,6.0,2,5.0,9
162,0,1,0.0,1,7.0,0
163,10,0,2.0,1,10.0,10
164,7,3,0.0,2,5.0,8
165,12,1,16.0,1,12.0,11
166,10,0,4.0,2,10.0,10
167,16,0,0.0,2,14.0,15
168,0,0,0.0,2,6.0,7
169,14,0,0.0,2,14.0,14
170,0,2,0.0,1,6.0,5
171,16,0,2.0,2,13.0,15
172,10,0,0.0,2,13.0,11
173,0,3,0.0,2,8.0,7
174,9,0,4.0,2,10.0,11
175,9,0,4.0,2,10.0,9
176,11,0,2.0,2,13.0,13
177,6,0,4.0,2,6.0,5
178,9,0,10.0,1,10.0,8
179,11,0,4.0,2,10.0,10
180,8,0,10.0,2,9.0,8
181,12,0,2.0,2,12.0,13
182,17,0,0.0,2,16.0,17
183,8,0,20.0,2,9.0,9
184,12,0,14.0,2,12.0,13
185,11,0,12.0,2,12.0,12
186,11,0,2.0,1,11.0,12
187,15,0,0.0,2,15.0,15
188,9,0,6.0,2,8.0,7
189,10,0,4.0,2,8.0,9
190,13,0,10.0,2,11.0,12
191,9,0,0.0,2,8.0,8
192,8,0,12.0,2,7.0,8
193,10,0,8.0,1,8.0,9
194,14,0,0.0,1,13.0,14
195,15,0,0.0,2,14.0,15
196,16,0,4.0,1,17.0,15
197,10,0,8.0,1,9.0,9
198,18,1,20.0,1,18.0,18
199,10,0,0.0,2,9.0,9
200,16,0,2.0,2,16.0,16
201,10,0,6.0,2,8.0,10
202,10,0,4.0,2,9.0,9
203,6,0,18.0,1,7.0,6
204,11,0,6.0,4,10.0,10
205,9,1,20.0,3,10.0,9
206,7,3,5.0,2,7.0,7
207,13,0,10.0,2,11.0,12
208,10,0,6.0,1,9.0,9
209,7,0,6.0,3,7.0,7
210,8,0,10.0,4,8.0,8
211,13,0,13.0,2,12.0,12
212,14,0,0.0,2,12.0,13
213,8,1,15.0,2,6.0,7
214,10,0,12.0,1,8.0,10
215,15,0,2.0,2,14.0,15
216,4,2,20.0,2,6.0,6
217,8,1,13.0,2,6.0,6
218,8,0,3.0,1,7.0,7
219,10,0,4.0,3,9.0,10
220,6,0,2.0,2,6.0,6
221,0,1,0.0,3,6.0,5
222,17,0,2.0,2,16.0,16
223,13,0,0.0,2,12.0,13
224,14,0,0.0,3,13.0,13
225,7,1,16.0,2,9.0,8
226,15,0,10.0,2,16.0,15
227,12,0,2.0,2,12.0,11
228,9,0,14.0,2,10.0,8
229,12,0,10.0,3,12.0,10
230,14,0,14.0,2,13.0,13
231,11,0,4.0,2,11.0,11
232,9,0,14.0,2,11.0,9
233,13,0,2.0,2,14.0,13
234,6,0,18.0,2,9.0,7
235,10,0,10.0,3,11.0,9
236,13,0,4.0,2,14.0,13
237,12,0,20.0,1,13.0,12
238,11,0,2.0,2,13.0,11
239,0,1,0.0,2,7.0,7
240,12,0,14.0,2,12.0,12
241,12,0,2.0,2,10.0,11
242,0,0,0.0,1,6.0,0
243,12,0,0.0,1,13.0,12
244,0,0,0.0,3,7.0,0
245,18,0,6.0,1,18.0,18
246,13,0,4.0,1,12.0,12
247,8,3,16.0,1,6.0,8
248,5,1,8.0,2,3.0,5
249,15,0,0.0,1,13.0,15
250,8,1,0.0,1,6.0,8
251,10,0,6.0,2,7.0,10
252,8,1,4.0,1,6.0,9
253,8,0,0.0,1,8.0,9
254,12,0,0.0,1,8.0,12
255,8,1,2.0,1,7.0,9
256,13,0,6.0,4,14.0,12
257,11,0,12.0,2,11.0,11
258,14,0,8.0,2,15.0,14
259,0,0,0.0,4,10.0,9
260,18,0,20.0,2,17.0,18
261,8,0,2.0,2,8.0,8
262,12,0,1.0,3,13.0,12
263,9,0,4.0,3,10.0,9
264,0,0,0.0,3,9.0,10
265,17,0,13.0,2,17.0,17
266,10,0,2.0,2,9.0,9
267,11,0,8.0,2,12.0,10
268,10,0,10.0,2,10.0,9
269,0,0,0.0,2,6.0,0
270,9,2,15.0,2,9.0,9
271,14,0,4.0,4,15.0,14
272,11,0,2.0,2,11.0,11
273,14,0,2.0,2,15.0,14
274,10,0,2.0,2,10.0,10
275,12,0,6.0,2,12.0,12
276,9,0,20.0,2,10.0,9
277,9,0,20.0,1,9.0,9
278,8,1,15.0,2,9.0,8
279,10,0,8.0,1,10.0,11
280,8,0,20.0,1,8.0,8
281,10,1,19.0,1,11.0,9
282,12,0,1.0,4,12.0,12
283,10,0,4.0,2,8.0,9
284,11,0,4.0,2,10.0,9
285,11,0,2.0,2,12.0,10
286,19,0,5.0,3,18.0,18
287,12,0,6.0,3,13.0,12
288,14,0,6.0,3,15.0,14
289,15,0,9.0,2,15.0,13
290,11,0,11.0,2,12.0,11
291,15,0,0.0,3,15.0,15
292,13,1,12.0,2,12.0,12
293,18,0,6.0,4,18.0,18
294,14,0,8.0,3,14.0,13
295,11,0,4.0,1,14.0,12
296,0,0,0.0,2,10.0,9
297,8,0,10.0,2,10.0,8
298,14,0,0.0,4,14.0,13
299,16,0,5.0,1,16.0,15
300,11,0,14.0,2,12.0,10
301,10,0,0.0,1,11.0,11
302,14,0,0.0,3,15.0,12
303,18,0,0.0,4,17.0,17
304,13,1,20.0,2,15.0,14
305,12,1,8.0,2,14.0,12
306,18,0,0.0,1,17.0,18
307,8,1,20.0,1,8.0,9
308,12,1,0.0,2,15.0,12
309,10,1,18.0,2,12.0,10
310,0,1,0.0,2,9.0,9
311,13,0,20.0,2,14.0,12
312,11,1,3.0,2,13.0,11
313,11,1,20.0,2,13.0,10
314,13,2,14.0,3,15.0,13
315,11,1,20.0,3,13.0,11
316,0,0,0.0,2,8.0,8
317,9,0,9.0,3,9.0,10
318,10,0,0.0,3,11.0,11
319,11,0,2.0,2,11.0,11
320,13,0,20.0,2,13.0,13
321,9,0,12.0,2,11.0,9
322,11,0,3.0,3,11.0,11
323,15,0,1.0,3,12.0,14
324,15,0,0.0,3,16.0,15
325,11,0,3.0,3,9.0,12
326,16,0,3.0,1,14.0,15
327,10,0,8.0,1,11.0,10
328,9,0,7.0,3,10.0,9
329,14,0,4.0,3,14.0,14
330,8,0,2.0,4,9.0,8
331,14,0,7.0,3,12.0,14
332,0,0,0.0,2,7.0,0
333,0,0,0.0,2,8.0,8
334,0,0,0.0,4,10.0,9
335,15,0,16.0,3,16.0,15
336,13,1,12.0,3,14.0,13
337,0,0,0.0,2,7.0,8
338,17,0,7.0,4,16.0,15
339,10,0,4.0,2,9.0,10
340,11,1,4.0,3,11.0,12
341,0,1,0.0,2,10.0,10
342,15,0,11.0,2,16.0,15
343,0,1,0.0,2,9.0,8
344,10,0,4.0,3,11.0,10
345,14,0,7.0,3,13.0,13
346,16,0,9.0,3,16.0,15
347,9,0,0.0,3,10.0,10
348,15,0,0.0,3,13.0,15
349,13,1,10.0,1,11.0,13
350,8,3,8.0,2,8.0,7
351,13,0,2.0,2,13.0,13
352,8,1,7.0,1,8.0,7
353,8,1,4.0,1,8.0,8
354,11,0,4.0,2,13.0,11
355,9,0,0.0,2,10.0,9
356,13,0,4.0,2,12.0,13
357,11,0,2.0,2,12.0,12
358,10,0,4.0,1,10.0,10
359,16,0,0.0,3,18.0,16
360,13,0,0.0,2,13.0,13
361,12,1,2.0,2,13.0,12
362,10,0,0.0,2,11.0,11
363,15,0,0.0,2,16.0,15
364,12,0,0.0,2,12.0,11
365,10,0,4.0,2,10.0,10
366,13,0,0.0,3,13.0,13
367,0,1,0.0,1,7.0,6
368,10,0,0.0,1,11.0,10
369,11,0,10.0,2,14.0,12
370,9,2,4.0,2,7.0,7
371,12,0,3.0,1,14.0,12
372,11,0,8.0,3,13.0,11
373,5,0,14.0,1,6.0,5
374,19,0,0.0,3,19.0,18
375,10,0,2.0,3,8.0,8
376,15,2,4.0,3,15.0,14
377,10,0,4.0,2,8.0,9
378,15,0,0.0,2,15.0,15
379,10,0,17.0,2,10.0,10
380,14,0,4.0,2,15.0,14
381,7,0,5.0,1,7.0,6
382,10,0,2.0,2,11.0,11
383,0,1,0.0,1,6.0,5
384,5,1,14.0,1,6.0,5
385,10,0,2.0,3,10.0,9
386,6,0,7.0,1,6.0,5
387,0,1,0.0,3,7.0,5
388,8,0,0.0,2,7.0,9
389,0,1,0.0,2,6.0,5
390,9,2,11.0,2,9.0,9
391,16,0,3.0,1,14.0,16
392,7,3,3.0,1,10.0,8
393,10,0,0.0,1,11.0,12
394,9,0,5.0,1,8.0,9
